债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
031490530.IB,采掘,煤炭开采,中煤集团山西华昱能源有限公司2014年度第一期非公开定向债务融资工具,14华昱能源PPN001,中煤集团山西华昱能源有限公司
1282084.IB,轻工制造,包装印刷,珠海中富实业股份有限公司2012年度第一期中期票据,12珠中富MTN1,珠海中富实业股份有限公司
088006.IB,轻工制造,0,2008年广州造纸股份有限公司公司债券,08广纸股份债,广州造纸股份有限公司
1180137.IB,有色金属,0,2011年河南万基铝业股份有限公司公司债券,11万基债,河南万基铝业股份有限公司
122729.SH,综合,综合Ⅱ,2012年华盛江泉集团有限公司公司债券,12江泉债,华盛江泉集团有限公司
1180120.IB,采掘,煤炭开采,2011年龙口煤电有限公司公司债券,11龙煤电债,龙口煤电有限公司
1180005.IB,采掘,煤炭开采,2011年山东省微山湖矿业集团有限公司公司债券,11微矿集团债,山东省微山湖矿业集团有限公司
124256.SH,综合,综合Ⅱ,2013年苏泊尔集团有限公司公司债券,13苏泊尔,苏泊尔集团有限公司
124309.SH,公用事业,燃气,2013年信阳市弘昌管道燃气工程有限责任公司公司债券,13弘燃气,信阳市弘昌管道燃气工程有限责任公司
136511.SH,有色金属,黄金,云南黄金矿业集团股份有限公司2016年公司债券(第一期),16云金01,云南黄金矿业集团股份有限公司
1380055.IB,综合,综合Ⅱ,2013年万正投资集团有限公司公司债券,13万正债,万正投资集团有限公司
122535.SH,综合,综合Ⅱ,2012年江苏飞达控股集团有限公司公司债券,12苏飞达,江苏飞达控股集团有限公司
1380047.IB,电子,0,2013年晶科能源有限公司公司债券,13晶科债,晶科能源有限公司
1080147.IB,综合,综合Ⅱ,2010年山东丰源煤电股份有限公司公司债券,10丰源煤电债,山东丰源集团股份有限公司
1280379.IB,交通运输,高速公路,2012年山西汽车运输集团有限公司公司债券,12晋汽运债,山西汽车运输集团有限公司
078046.IB,化工,石油化工,2007年永城煤电集团有限责任公司公司债券,07永煤债,永煤集团股份有限公司
1580188.IB,综合,综合Ⅱ,2015年阳城县皇城相府(集团)实业有限公司公司债券,15皇城相府债,阳城县皇城相府(集团)实业有限公司
124287.SH,钢铁,钢铁Ⅱ,2013年新疆金特钢铁股份有限公司公司债券,金特暂停,新疆金特钢铁股份有限公司
088043.IB,有色金属,0,2008年湖南有色金属控股集团公司债券,08湘有色债,湖南有色金属控股集团有限公司
031490090.IB,采掘,煤炭开采,太原煤炭气化(集团)有限责任公司2014年度第一期非公开定向债务融资工具,14太煤PPN001,太原煤炭气化(集团)有限责任公司
078088.IB,有色金属,0,2007年湖南晟通科技有限公司公司债券,07晟通债,晟通科技集团有限公司
031578004.IB,化工,化学制品,江苏索普(集团)有限公司2015年度第一期非公开定向债务融资工具,15索普PPN001,江苏索普(集团)有限公司
124102.SH,交通运输,航空运输,2012年云南祥鹏航空有限责任公司公司债券,12滇祥航,云南祥鹏航空有限责任公司
101658030.IB,电气设备,0,太重煤机有限公司2016年度第一期中期票据,16太重煤机MTN001,太重煤机有限公司
